Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Document Type,Publication Stage,Source,first_author,corr_auth,abstract
Moore T.L.; Pesce C.; Greco A.; Pisante C.; Di Francesco V.; Decuzzi P.,,,A machine learning workflow to enhance microfluidic development of nanomedicines,2025,ChemRxiv,NA,NA,NA,NA,NA,24,0,10.26434/chemrxiv-2025-2lb14,Preprint,Preprint,Self,1,1,"Artificial intelligence (AI) is being implemented in almost every facet of modern-day life, and machine learning, a subfield of AI, has the potential to greatly streamline the process of developing various nanomedicines using microfluidic fabrication techniques. The availability of open-source machine learning frameworks makes these powerful tools accessible to scientists, facilitating the integration of wet-bench activities with computational analysis. Here, we present a machine learning workflow aimed at optimizing the microfluidic formulation development of nanomedicines. A database of almost 200 unique nanomedicine formulations with over 550 total measurements was curated by producing liposomes, lipid nanoparticles, and PLGA nanoparticles using a benchtop microfluidic system. Microfluidic and materials input features, including the total flow rate, aqueous:organic flow rate ratio, and reagent concentrations, were systematically varied, and the resulting particles were characterized for their hydrodynamic diameter (dH ), polydispersity index (PdI), and encapsulation efficiency (EE) for a model therapeutic agent, curcumin (CURC). These data were used to train, test, and validate 13 different machine learning models with the task of returning the most accurate prediction of the nanomedicine attributes – dH , PdI, EE. The most accurate machine learning models, based on random forest regression, were implemented to provide the optimal formulation to yield particles with user-specified attributes. Finally, this system, dubbed MicrofluidicML, was compared against generative large language models as represented by the Open AI ChatGPT and Google’s Gemini platforms.The application of machine learning in the field of nanomedicine is inevitable, and MicrofluidicML represents a step towards implementing a machine learning framework towards accelerating formulation development."
Moore T.L.; Pannuzzo G.; Costabile G.; Palange A.L.; Spanò R.; Ferreira M.; Graziano A.C.E.; Decuzzi P.; Cardile V.,"Moore, Thomas Lee (36542652400); Pannuzzo, Giovanna (35799880300); Costabile, Gabriella (56662879000); Palange, Anna Lisa (55991000900); Spanò, Raffaele (55882228300); Ferreira, Miguel (35483645000); Graziano, Adriana Carol Eleonora (55237807200); Decuzzi, Paolo (56884263000); Cardile, Venera (7003440605)",36542652400; 35799880300; 56662879000; 55991000900; 55882228300; 35483645000; 55237807200; 56884263000; 7003440605,Nanomedicines to treat rare neurological disorders: The case of Krabbe disease,2023,Advanced Drug Delivery Reviews,203,,115132,,,,5,10.1016/j.addr.2023.115132,Review,Final,Scopus,1,1,"The brain remains one of the most challenging therapeutic targets due to the low and selective permeability of the blood–brain barrier and complex architecture of the brain tissue. Nanomedicines, despite their relatively large size compared to small molecules and nucleic acids, are being heavily investigated as vehicles to delivery therapeutics into the brain. Here we elaborate on how nanomedicines may be used to treat rare neurodevelopmental disorders, using Krabbe disease (globoid cell leukodystrophy) to frame the discussion. As a monogenetic disorder and lysosomal storage disease affecting the nervous system, the lessons learned from examining nanoparticle delivery to the brain in the context of Krabbe disease can have a broader impact on the treatment of various other neurodevelopmental and neurodegenerative disorders. In this review, we introduce the epidemiology and genetic basis of Krabbe disease, discuss current in vitro and in vivo models of the disease, as well as current therapeutic approaches either approved or at different stage of clinical developments. We then elaborate on challenges in particle delivery to the brain, with a specific emphasis on methods to transport nanomedicines across the blood–brain barrier. We highlight nanoparticles for delivering therapeutics for the treatment of lysosomal storage diseases, classified by the therapeutic payload, including gene therapy, enzyme replacement therapy, and small molecule delivery. Finally, we provide some useful hints on the design of nanomedicines for the treatment of rare neurological disorders."
Moore T.L.; Grimes S.W.; Lewis R.L.; Alexis F.,"Moore, Thomas L. (36542652400); Grimes, Stuart W. (55661187500); Lewis, Robert L. (55536491600); Alexis, Frank (55893790300)",36542652400; 55661187500; 55536491600; 55893790300,Multilayered polymer-coated carbon nanotubes to deliver dasatinib,2014,Molecular Pharmaceutics,11,1,,276,282,6,37,10.1021/mp400448w,Article,Final,Scopus,1,0,"Multilayered, multifunctional polymer coatings were grafted onto carbon nanotubes (CNTs) using a one-pot, ring-opening polymerization in order to control the release kinetic and therapeutic efficacy of dasatinib. Biocompatible, biodegradable multilayered coatings composed of poly(glycolide) (PGA) and poly(lactide) (PLA) were polymerized directly onto hydroxyl-functionalized CNT surfaces. Sequential addition of monomers into the reaction vessel enabled multilayered coatings of PLA-PGA or PGA-PLA. Poly(ethylene glycol) capped the polymer chain ends, resulting in a multifunctional amphiphilic coating. Multilayer polymer coatings on CNTs enabled control of the anticancer drug dasatinib’s release kinetics and enhanced the in vitro therapeutic efficacy against U-87 glioblastoma compared to monolayer polymer coatings."
Palange A.L.; Mascolo D.D.; Ferreira M.; Gawne P.J.; Spanò R.; Felici A.; Bono L.; Moore T.L.; Salerno M.; Armirotti A.; Decuzzi P.,"Palange, Anna Lisa (55991000900); Mascolo, Daniele Di (55217626900); Ferreira, Miguel (35483645000); Gawne, Peter J. (57203003540); Spanò, Raffaele (55882228300); Felici, Alessia (57223860064); Bono, Luca (57193256438); Moore, Thomas Lee (36542652400); Salerno, Marco (35325450600); Armirotti, Andrea (6507663930); Decuzzi, Paolo (56884263000)",55991000900; 55217626900; 35483645000; 57203003540; 55882228300; 57223860064; 57193256438; 36542652400; 35325450600; 6507663930; 56884263000,Boosting the Potential of Chemotherapy in Advanced Breast Cancer Lung Metastasis via Micro-Combinatorial Hydrogel Particles,2023,Advanced Science,10,10,2205223,,,,6,10.1002/advs.202205223,Article,Final,Scopus,0,0,"Breast cancer cell colonization of the lungs is associated with a dismal prognosis as the distributed nature of the disease and poor permeability of the metastatic foci challenge the therapeutic efficacy of small molecules, antibodies, and nanomedicines. Taking advantage of the unique physiology of the pulmonary circulation, here, micro-combinatorial hydrogel particles (µCGP) are realized via soft lithographic techniques to enhance the specific delivery of a cocktail of cytotoxic nanoparticles to metastatic foci. By cross-linking short poly(ethylene glycol) (PEG) chains with erodible linkers within a shape-defining template, a deformable and biodegradable polymeric skeleton is realized and loaded with a variety of therapeutic and imaging agents, including docetaxel-nanoparticles. In a model of advanced breast cancer lung metastasis, µCGP amplified the colocalization of docetaxel-nanoparticles with pulmonary metastatic foci, prolonged the retention of chemotoxic molecules at the diseased site, suppressed lesion growth, and boosted survival beyond 20 weeks post nodule engraftment. The flexible design and modular architecture of µCGP would allow the efficient deployment of complex combination therapies in other vascular districts too, possibly addressing metastatic diseases of different origins."
Loo S.C.J.; Moore T.; Banik B.; Alexis F.,"Loo, S.C.J. (7005154512); Moore, T. (36542652400); Banik, B. (37011923100); Alexis, F. (55893790300)",7005154512; 36542652400; 37011923100; 55893790300,Biomedical applications of hydroxyapatite nanoparticles,2010,Current Pharmaceutical Biotechnology,11,4,,333,342,9,96,10.2174/138920110791233343,Review,Final,Scopus,0,0,"Nanotechnologies have the potential to improve current disease diagnosis due to their ability to circulate in the blood and distribute in the body to image tissues and cells or therapeutical applications to deliver a payload. Among nanoparticles with different materials composition, inorganic nanoparticles composed of calcium phosphate have numerous advantages including ease of synthesis, control of physico-chemical properties, strong interactions with their payload, and biocompatibility. In this review we discuss the different routes of synthesis of calcium phosphate nanoparticles, novel systems, strategies to load agents, biostability and cytotoxicity, biodistribution and pharmacokinetics, bio-imaging and therapeutical applications. "
Chen H.; Qi B.; Moore T.; Wang F.; Colvin D.C.; Sanjeewa L.D.; Gore J.C.; Hwu S.-J.; Mefford O.T.; Alexis F.; Anker J.N.,"Chen, Hongyu (37033463000); Qi, Bin (55249569800); Moore, Thomas (36542652400); Wang, Fenglin (55990825900); Colvin, Daniel C. (16174182800); Sanjeewa, Liurukara D. (55214017300); Gore, John C. (7202242633); Hwu, Shiou-Jyh (7004293587); Mefford, O. Thompson (13104879300); Alexis, Frank (55893790300); Anker, Jeffrey N. (6701869998)",37033463000; 55249569800; 36542652400; 55990825900; 16174182800; 55214017300; 7202242633; 7004293587; 13104879300; 55893790300; 6701869998,Multifunctional yolk-in-shell nanoparticles for pH-triggered drug release and imaging,2014,Small,10,16,,3364,3370,6,36,10.1002/smll.201303769,Article,Final,Scopus,0,0,"Multifunctional nanoparticles are synthesized for both pH-triggered drug release and imaging with radioluminescence, upconversion luminescent, and magnetic resonance imaging (MRI). The particles have a yolk-in-shell morphology, with a radioluminescent core, an upconverting shell, and a hollow region between the core and shell for loading drugs. They are synthesized by controlled encapsulation of a radioluminescent nanophosphor yolk in a silica shell, partial etching of the yolk in acid, and encapsulation of the silica with an upconverting luminescent shell. Metroxantrone, a chemotherapy drug, was loaded into the hollow space between X-ray phosphor yolk and up-conversion phosphor shell through pores in the shell. To encapsulate the drug and control the release rate, the nanoparticles are coated with pH-responsive biocompatible polyelectrolyte layers of charged hyaluronic acid sodium salt and chitosan. The nanophosphors display bright luminescence under X-ray, blue light (480 nm), and near infrared light (980 nm). They also served as T1 and T2 MRI contrast agents with relaxivities of 3.5 mM−1 s−1 (r1) and 64 mM−1s−1 (r2). These multifunctional nanocapsules have applications in controlled drug delivery and multimodal imaging."
Balog S.; Moore T.; Rothen-Rutishauser B.; Petri-Fink A.,"Balog, Sandor (25930729100); Moore, Thomas (36542652400); Rothen-Rutishauser, Barbara (6603722624); Petri-Fink, Alke (12799294600)",25930729100; 36542652400; 6603722624; 12799294600,What we talk about when we talk Nanoparticle-Cell interaction,2016,Chimia,70,1-2,,110,,,0,10.2533/chimia.2016.110,Note,Final,Scopus,0,0,
Moore T.L.; Pitzer J.E.; Podila R.; Wang X.; Lewis R.L.; Grimes S.W.; Wilson J.R.; Skjervold E.; Brown J.M.; Rao A.; Alexis F.,"Moore, Thomas L. (36542652400); Pitzer, Joshua E. (24512615200); Podila, Ramakrishna (35194474800); Wang, Xiaojia (50362137600); Lewis, Robert L. (55536491600); Grimes, Stuart W. (55661187500); Wilson, James R. (57198215894); Skjervold, Even (55661367500); Brown, Jared M. (57203299760); Rao, Apparao (7404473577); Alexis, Frank (55893790300)",36542652400; 24512615200; 35194474800; 50362137600; 55536491600; 55661187500; 57198215894; 55661367500; 57203299760; 7404473577; 55893790300,Multifunctional polymer-coated carbon nanotubes for safe drug delivery,2013,Particle and Particle Systems Characterization,30,4,,365,373,8,61,10.1002/ppsc.201200145,Article,Final,Scopus,1,0,"Although progress in the use carbon nanotubes in medicine has been most encouraging for therapeutic and diagnostic applications, any translational success must involve overcoming the toxicological and surface functionalization challenges inherent in the use of such nanotubes. Ideally, a carbon-nanotube-based drug delivery system would exhibit low toxicity, sustained drug release, and persist in circulation without aggregation. Here, carbon nanotubes (CNTs) coated with a biocompatible block-co-polymer composed of poly(lactide)-poly(ethylene glycol) (PLA-PEG) are reported to reduce short-term and long-term toxicity, sustain drug release of paclitaxel (PTX), and prevent aggregation. The copolymer coating on the surface of CNTs significantly reduces in vitro toxicity. Moreover, the coating reduces the in vitro inflammatory response. Compared to non-coated CNTs, in vivo studies show no long-term inflammatory response with CNT coated with PLA-PEG (CLP) and the surface coating significantly decreases acute toxicity by doubling the maximum tolerated dose in mice. In vivo biodistribution and histology studies suggest a lower degree of aggregation in tissues."
Moore T.L.; Cook A.B.; Bellotti E.; Palomba R.; Manghnani P.; Spanò R.; Brahmachari S.; Di Francesco M.; Palange A.L.; Di Mascolo D.; Decuzzi P.,"Moore, Thomas L. (36542652400); Cook, Alexander B. (57183574900); Bellotti, Elena (57014761800); Palomba, Roberto (56400658900); Manghnani, Purnima (57191442081); Spanò, Raffaele (55882228300); Brahmachari, Sayanti (36631403100); Di Francesco, Martina (56800385300); Palange, Anna Lisa (55991000900); Di Mascolo, Daniele (55217626900); Decuzzi, Paolo (56884263000)",36542652400; 57183574900; 57014761800; 56400658900; 57191442081; 55882228300; 36631403100; 56800385300; 55991000900; 55217626900; 56884263000,Shape-specific microfabricated particles for biomedical applications: a review,2022,Drug Delivery and Translational Research,12,8,,2019,2037,18,16,10.1007/s13346-022-01143-4,Review,Final,Scopus,1,1,"The storied history of controlled the release systems has evolved over time; from degradable drug-loaded sutures to monolithic zero-ordered release devices and nano-sized drug delivery formulations. Scientists have tuned the physico-chemical properties of these drug carriers to optimize their performance in biomedical/pharmaceutical applications. In particular, particle drug delivery systems at the micron size regime have been used since the 1980s. Recent advances in micro and nanofabrication techniques have enabled precise control of particle size and geometry–here we review the utility of microplates and discoidal polymeric particles for a range of pharmaceutical applications. Microplates are defined as micrometer scale polymeric local depot devices in cuboid form, while discoidal polymeric nanoconstructs are disk-shaped polymeric particles having a cross-sectional diameter in the micrometer range and a thickness in the hundreds of nanometer range. These versatile particles can be used to treat several pathologies such as cancer, inflammatory diseases and vascular diseases, by leveraging their size, shape, physical properties (e.g., stiffness), and component materials, to tune their functionality. This review highlights design and fabrication strategies for these particles, discusses their applications, and elaborates on emerging trends for their use in formulations."
Moore T.L.; Urban D.A.; Rodriguez-Lorenzo L.; Milosevic A.; Crippa F.; Spuch-Calvar M.; Balog S.; Rothen-Rutishauser B.; Lattuada M.; Petri-Fink A.,"Moore, Thomas L. (36542652400); Urban, Dominic A. (56684591400); Rodriguez-Lorenzo, Laura (26433883400); Milosevic, Ana (57193346532); Crippa, Federica (57190182650); Spuch-Calvar, Miguel (16204219300); Balog, Sandor (25930729100); Rothen-Rutishauser, Barbara (6603722624); Lattuada, Marco (57132389600); Petri-Fink, Alke (12799294600)",36542652400; 56684591400; 26433883400; 57193346532; 57190182650; 16204219300; 25930729100; 6603722624; 57132389600; 12799294600,Nanoparticle administration method in cell culture alters particle-cell interaction,2019,Scientific Reports,9,1,900,,,,65,10.1038/s41598-018-36954-4,Article,Final,Scopus,1,0,"As a highly interdisciplinary field, working with nanoparticles in a biomedical context requires a robust understanding of soft matter physics, colloidal behaviors, nano-characterization methods, biology, and bio-nano interactions. When reporting results, it can be easy to overlook simple, seemingly trivial experimental details. In this context, we set out to understand how in vitro technique, specifically the way we administer particles in 2D culture, can influence experimental outcomes. Gold nanoparticles coated with poly(vinylpyrrolidone) were added to J774A.1 mouse monocyte/macrophage cultures as either a concentrated bolus, a bolus then mixed via aspiration, or pre-mixed in cell culture media. Particle-cell interaction was monitored via inductively coupled plasma-optical emission spectroscopy and we found that particles administered in a concentrated dose interacted more with cells compared to the pre-mixed administration method. Spectroscopy studies reveal that the initial formation of the protein corona upon introduction to cell culture media may be responsible for the differences in particle-cell interaction. Modeling of particle deposition using the in vitro sedimentation, diffusion and dosimetry model helped to clarify what particle phenomena may be occurring at the cellular interface. We found that particle administration method in vitro has an effect on particle-cell interactions (i.e. cellular adsorption and uptake). Initial introduction of particles in to complex biological media has a lasting effect on the formation of the protein corona, which in turn mediates particle-cell interaction. It is of note that a minor detail, the way in which we administer particles in cell culture, can have a significant effect on what we observe regarding particle interactions in vitro."
Lemal P.; Geers C.; Monnier C.A.; Crippa F.; Daum L.; Urban D.A.; Rothen-Rutishauser B.; Bonmarin M.; Petri-Fink A.; Moore T.L.,"Lemal, Philipp (57193011760); Geers, Christoph (56094423100); Monnier, Christophe A. (56132414000); Crippa, Federica (57190182650); Daum, Leopold (57193009969); Urban, Dominic A. (56684591400); Rothen-Rutishauser, Barbara (6603722624); Bonmarin, Mathias (25624447800); Petri-Fink, Alke (12799294600); Moore, Thomas L. (36542652400)",57193011760; 56094423100; 56132414000; 57190182650; 57193009969; 56684591400; 6603722624; 25624447800; 12799294600; 36542652400,Lock-in thermography as a rapid and reproducible thermal characterization method for magnetic nanoparticles,2017,Journal of Magnetism and Magnetic Materials,427,,,206,211,5,9,10.1016/j.jmmm.2016.11.012,Article,Final,Scopus,0,1,"Lock-in thermography (LIT) is a sensitive imaging technique generally used in engineering and materials science (e.g. detecting defects in composite materials). However, it has recently been expanded for investigating the heating power of nanomaterials, such as superparamagnetic iron oxide nanoparticles (SPIONs). Here we implement LIT as a rapid and reproducible method that can evaluate the heating potential of various sizes of SPIONs under an alternating magnetic field (AMF), as well as the limits of detection for each particle size. SPIONs were synthesized via thermal decomposition and stabilized in water via a ligand transfer process. Thermographic measurements of SPIONs were made by stimulating particles of varying sizes and increasing concentrations under an AMF. Furthermore, a commercially available SPION sample was included as an external reference. While the size dependent heating efficiency of SPIONs has been previously described, our objective was to probe the sensitivity limits of LIT. For certain size regimes it was possible to detect signals at concentrations as low as 0.1 mg Fe/mL. Measuring at different concentrations enabled a linear regression analysis and extrapolation of the limit of detection for different size nanoparticles."
Rodriguez-Lorenzo L.; Rafiee S.D.; Reis C.; Milosevic A.; Moore T.L.; Balog S.; Rothen-Rutishauser B.; Ruegg C.; Petri-Fink A.,"Rodriguez-Lorenzo, Laura (26433883400); Rafiee, Sarah D. (57203284399); Reis, Corine (57203287026); Milosevic, Ana (57193346532); Moore, Thomas L. (36542652400); Balog, Sandor (25930729100); Rothen-Rutishauser, Barbara (6603722624); Ruegg, Curzio (57203081385); Petri-Fink, Alke (12799294600)",26433883400; 57203284399; 57203287026; 57193346532; 36542652400; 25930729100; 6603722624; 57203081385; 12799294600,A rational and iterative process for targeted nanoparticle design and validation,2018,Colloids and Surfaces B: Biointerfaces,171,,,579,589,10,6,10.1016/j.colsurfb.2018.07.066,Article,Final,Scopus,0,0,"The lack of understanding of fundamental nano-bio interactions, and difficulties in designing particles stable in complex biological environments are major limitations to their translation into biomedical clinical applications. Here we present a multi-parametric approach to fully characterize targeted nanoparticles, and emphasizes the significant effect that each detail in the synthetic process can have on downstream in vitro results. Through an iterative process, particles were designed, synthesized and tested for physico-chemical and bio-interactive properties which allowed the optimization of nanoparticle functionality. Taken together all interative steps demonstrate that we have synthesized a multifunctional gold nanoparticles that can detect ERBB2-positive breast cancer cells while showing stealth-like behavior toward ERBB2-negative cells and excellent physicochemical stability."
