Authors,institute
Abdussalam W.,
Abu Ammar A.,
Alexis F.,Clemson
Anker J.N.,Clemson
Armirotti A.,IIT
Balog S.,AMI
Banik B.,Clemson
Bellotti E.,IIT
Bonmarin M.,ZHAW
Bono L.,IIT
Boso D.P.,Upadova
Bossert D.,AMI
Brahmachari S.,IIT
Brown J.M.,ECU
Burnand D.,AMI
Cardile V.,Ucatania
Casco M.,Clemson
Ceseracciu L.,
Chen H.,Clemson
Chien W.,IIT
Coclite A.,IIT
Colvin D.C.,
Conte C.,FedericoII
Cook A.B.,IIT
Costabile G.,FedericoII
Crawford T.,
Crippa F.,AMI
Daum L.,AMI
Decuzzi P.,IIT
Dengjel J.,Ufribourg
Di Francesco M.,IIT
Di Francesco V.,IIT
Di Mascolo D.,IIT
Duocastella M.,IIT
Dvir I.,
Fedosov D.,
Felici A.,IIT
Ferreira M.,IIT
Fong W.-K.,AMI
Fragassi A.,IIT
Gawne P.J.,IIT
Geers C.,AMI
Gore J.C.,
Graham E.,Clemson
Graziano A.C.E.,Ukore
Greco A.,IIT
Grimes S.W.,Clemson
Gruber T.,Ubern
Haeni L.,AMI
Hauser D.,AMI
He J.,
Hirsch V.,AMI
Hirt A.M.,
Hitchcock D.A.,
Hwu S.-J.,
Jelen E.K.,Clemson
Jud C.,AMI
Kasem H.,
Kinnear C.,AMI
Lattuada M.,Ufribourg
Laurino F.,
Lee A.,AMI
Lemal P.,AMI
Lewis R.L.,Clemson
Longobardi G.,FedericoII
Loo S.C.J.,Singapore
Lusi V.,IIT
Lyck R.,Ubern
Manghnani P.,IIT
Mattix B.,Clemson
Mefford O.T.,Clemson
Miali M.E.,IIT
Milosevic A.,AMI
Mizrahy S.,Israel
Monnier C.A.,AMI
Moore T.,ME
Morrison R.,Clemson
Mortato M.,AMI
Olsen T.R.,Clemson
Oneto M.,
Palange A.L.,IIT
Palomba R.,IIT
Panella La Capria C.,IIT
Pannuzzo G.,Ucatania
Peer D.,Israel
Perreira R.,
Petri-Fink A.,AMI
Pitzer J.E.,ECU
Podila R.,Clemson
Qi B.,
Quaglia F.,FedericoII
Rafiee S.D.,AMI
Rao A.,Clemson
Reis C.,Ufribourg
Rizzuti I.,IIT
Rodriguez-Lorenzo L.,AMI
Rothen-Rutishauser B.,AMI
Ruegg C.,Ufribourg
Salerno M.,IIT
Sanjeewa L.D.,
Satchi-Fainaro R.,
Schlich M.,IIT
Schrefler B.A.,Upadova
Septiadi D.,AMI
Simionescu D.,Clemson
Skjervold E.,Clemson
Spanò R.,IIT
Spiaggia G.,AMI
Spuch-Calvar M.,AMI
Sulejmanovic D.,
Taladriz-Blanco P.,AMI
Ungaro F.,FedericoII
Urban D.,AMI
Vanhecke D.,AMI
Visconti R.P.,MUSC
Wang F.,Clemson
Wang X.,
Wilson J.R.,Clemson
Zunino A.,
Zunino P.,
